mz_rt,b1,b3,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
608.4637_5.649,6065.810159287207,4992.956110289138,0.8231309551692036,0.0247,-0.2808061219030256,1.6073030467403342,608.4637,5.649,6065,608.4637_5.649,608.4637_5.649,1
610.431_5.16,10602.976127495187,17085.817194060593,1.6114171142717542,3.36e-4,0.6883299830580794,3.473660722610156,610.431,5.16,14802.413,610.431_5.16,610.431_5.16,1
617.4748_4.643,42918.62090393272,24009.118208723306,0.5594102909891799,0.00355,-0.8380213008113818,2.449771646944906,617.4748,4.643,35170.414,617.4748_4.643,617.4748_4.643,1
619.4903_4.953,26411.232565835886,17502.621682217363,0.6626961327377727,6.03e-7,-0.5935805945107677,6.219682687859849,619.4903,4.953,17660.412,Cluster_619.4903_4.953,317.2685_4.946;619.4903_4.953;620.4935_4.951;641.4722_4.95,4
620.5974_10.522,18188.388316591558,15490.103302838384,0.8516479323628812,0.00474,-0.23167094519556616,2.3242216583259148,620.5974,10.522,18147.566,620.5974_10.522,620.5974_10.522,1
622.6132_10.675,94409.9409436055,79413.04003910124,0.8411512521391952,0.00695,-0.24956285196804048,2.1580151954098863,622.6132,10.675,89598.445,Cluster_622.6132_10.675,604.6026_10.678;622.6132_10.675,2
634.5399_9.061,31617.207574209046,39136.79746328258,1.2378321953772873,0.0159,0.30781575130047695,1.7986028756795485,634.5399,9.061,32500.328,Cluster_634.5399_9.061,634.5399_9.061;639.4955_9.064,2
634.54_8.941,19851.16117996651,27159.846073708777,1.3681741751771215,0.00145,0.4522519039583985,2.838631997765025,634.54,8.941,23433.549,634.54_8.941,634.54_8.941,1
643.38_0.69,2342.784069714392,4241.770102767464,1.8105681004073826,0.00822,0.8564424415322901,2.0851281824599495,643.38,0.69,2719.4695,643.38_0.69,643.38_0.69,1
650.6449_10.83,257711.51536129284,210415.67215034956,0.8164775712694176,6.33e-4,-0.2925148395508723,3.198596289982645,650.6449,10.83,240339.16,Cluster_650.6449_10.83,1300.2808_10.831;1301.284_10.831;632.6339_10.83;650.6449_10.83;737.7496_10.83;751.765_10.833,6
